Que_No,Que_Type,Answer_Key,Difficulti_Level,Correct_Marks,Wrong_Marks(-ve),Subject,Ref_Course,Ref_Subject,Chapter,Topic,SubTopic,Module,Question_Rule
1,Multiple Correct,C,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
2,Multiple Correct,ABD,High,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
3,Multiple Correct,A,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
4,Multiple Correct,C,High,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
5,Multiple Correct,AC,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
6,Multiple Correct,ABC,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
7,Multiple Correct,C,High,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
8,Multiple Correct,AC,High,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
9,Multiple Correct,ABCD,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
10,Multiple Correct,BC,Moderate,4,2,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
11,Matrix Match,R,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
12,Matrix Match,p,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
13,Matrix Match,S,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
14,Matrix Match,Q,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
15,Matrix Match,P:Q,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
16,Matrix Match,P:R,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
17,Matrix Match,P:R:S,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
18,Matrix Match,Q,Moderate,2,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
19,Integer,5,High,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
20,Integer,1,High,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
21,Integer,6,Moderate,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
22,Integer,29,High,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
23,Integer,7,Moderate,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
24,Integer,6,High,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
25,Integer,7,High,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Atomic_Structure,,,,
26,Integer,1,Moderate,4,0,Physics,XII-MAIN_AND_ADVANCE,Physics,Nuclear_Physics,,,,
27,Multiple Correct,ABD,High,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
28,Multiple Correct,BC,Easy,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
29,Multiple Correct,BD,Moderate,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
30,Multiple Correct,C,Easy,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
31,Multiple Correct,ABD,Moderate,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
32,Multiple Correct,ACD,Moderate,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
33,Multiple Correct,BC,Easy,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
34,Multiple Correct,ABC,Moderate,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
35,Multiple Correct,BD,Easy,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
36,Multiple Correct,ABD,High,4,2,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
37,Matrix Match,Q:R:S:T,Moderate,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
38,Matrix Match,Q:R:S:T,Moderate,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
39,Matrix Match,Q,Moderate,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
40,Matrix Match,P:Q:S,Moderate,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
41,Matrix Match,P:R:S:T,High,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
42,Matrix Match,P:Q:R:S,High,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
43,Matrix Match,P:Q:R:S,High,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
44,Matrix Match,P:Q,High,2,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
45,Integer,2,High,4,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
46,Integer,2,Moderate,4,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alkyl_and_Aryl_Halides,,,,
47,Integer,4,High,4,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
48,Integer,4,Moderate,4,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
49,Integer,5,Moderate,4,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
50,Integer,4,Moderate,4,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
51,Integer,4,Moderate,4,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,Alcohols_Ethers_and_Phenols,,,,
52,Integer,2,Moderate,4,0,Chemistry,XII-MAIN_AND_ADVANCE,Chemistry,p-Block_Elements,,,,
53,Multiple Correct,AB,Easy,4,2,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
54,Multiple Correct,AD,Moderate,4,2,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
55,Multiple Correct,ABC,High,4,2,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
56,Multiple Correct,AC,Moderate,4,2,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
57,Multiple Correct,BC,Easy,4,2,Maths,XII-MAIN_AND_ADVANCE,Maths,Matrices,,,,
58,Multiple Correct,B,Easy,4,2,Maths,XII-MAIN_AND_ADVANCE,Maths,Locus_and_Straight_Lines,,,,
59,Multiple Correct,BC,Easy,4,2,Maths,XII-MAIN_AND_ADVANCE,Maths,Relations_and_Functions,,,,
60,Multiple Correct,BD,Easy,4,2,Maths,XII-MAIN_AND_ADVANCE,Maths,Conic_Sections,,,,
61,Multiple Correct,AC,Easy,4,2,Maths,XII-MAIN_AND_ADVANCE,Maths,Relations_and_Functions,,,,
62,Multiple Correct,AD,Easy,4,2,Maths,XII-MAIN_AND_ADVANCE,Maths,Vectors,,,,
63,Matrix Match,R,Easy,2,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
64,Matrix Match,P,Easy,2,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
65,Matrix Match,S,Easy,2,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
66,Matrix Match,Q,Easy,2,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
67,Matrix Match,Q,Moderate,2,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Matrices,,,,
68,Matrix Match,P,Moderate,2,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Matrices,,,,
69,Matrix Match,S,Moderate,2,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Matrices,,,,
70,Matrix Match,R,Moderate,2,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Matrices,,,,
71,Integer,1,Easy,4,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
72,Integer,2,High,4,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Matrices,,,,
73,Integer,2,Moderate,4,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
74,Integer,1,Moderate,4,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
75,Integer,8,Easy,4,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
76,Integer,4,High,4,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Matrices,,,,
77,Integer,8,Moderate,4,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
78,Integer,2,Easy,4,0,Maths,XII-MAIN_AND_ADVANCE,Maths,Determinants,,,,
